plot,BA.123raw,Dens.123raw,BA.123ha,Dens.123ha,have6t,Dens.456raw,BA.456raw,BA.allTR.ha,Dens.allTR.ha
0,2.229614224,33,7.432047415,110,Y,16,1.365060492,5.991124528,81.66666667
1,0.487932536,8,1.626441787,26.66666667,N,NA,NA,1.626441787,26.66666667
2,3.219713067,56,10.73237689,186.6666667,N,NA,NA,10.73237689,186.6666667
3,2.195975621,39,7.319918737,130,N,NA,NA,7.319918737,130
5,0.044309808,2,0.147699361,6.666666667,N,NA,NA,0.147699361,6.666666667
6,5.208320011,113,17.3610667,376.6666667,N,NA,NA,17.3610667,376.6666667
7,0.150307144,24,0.501023814,80,N,NA,NA,0.501023814,80
8,6.143047498,186,20.47682499,620,Y,32,0.667676403,11.3512065,363.3333333
9,4.114210104,44,13.71403368,146.6666667,Y,17,1.939131572,10.08890279,101.6666667
10,4.308549811,42,14.3618327,140,N,NA,NA,14.3618327,140
11,4.888761134,27,16.29587045,90,N,NA,NA,16.29587045,90
12,1.957181593,29,6.523938642,96.66666667,Y,11,0.335203224,3.820641361,66.66666667
13,0,0,0,0,N,NA,NA,0,0
14,3.309099232,19,11.03033077,63.33333333,Y,14,0.764515997,6.789358716,55
15,8.396430227,42,27.98810076,140,Y,16,0.981819175,15.63041567,96.66666667
16,0.713316676,33,2.377722254,110,N,NA,NA,2.377722254,110
,,697,,,,106,803,,